Town,Ceremonial county,Status,Link
Boston,Lincolnshire,town council,"/wiki/Boston,_Lincolnshire"
Bottesford,Lincolnshire,town council,"/wiki/Bottesford,_Lincolnshire"
Bourne,Lincolnshire,town council1,"/wiki/Bourne,_Lincolnshire"
Bournemouth,Dorset,borough (1890–1974),/wiki/Bournemouth
Bovey Tracey,Devon,town council,/wiki/Bovey_Tracey
Brackley,Northamptonshire,town council1,/wiki/Brackley
Bradford-on-Avon,Wiltshire,town council1,/wiki/Bradford-on-Avon
Brading,Isle of Wight,town council,/wiki/Brading
Bradley Stoke,Gloucestershire,town council,/wiki/Bradley_Stoke
Bradninch,Devon,town council,/wiki/Bradninch
Braintree,Essex,market charter,"/wiki/Braintree,_Essex"
Brampton,Cumbria,market charter (1252),"/wiki/Brampton,_Carlisle"
Brandon,Suffolk,town council,"/wiki/Brandon,_Suffolk"
Braunstone Town,Leicestershire,town council,/wiki/Braunstone_Town
Brentford,Greater London,market charter,/wiki/Brentford
Brentwood,Essex,market charter,"/wiki/Brentwood,_Essex"
Bridgnorth,Shropshire,town council,/wiki/Bridgnorth
Bridgwater,Somerset,town council,/wiki/Bridgwater
Bridlington,East Riding of Yorkshire,town council,/wiki/Bridlington
Bridport,Dorset,town council1,/wiki/Bridport
Brierfield,Lancashire,town council,"/wiki/Brierfield,_Lancashire"
Brierley,South Yorkshire,town council,/wiki/Brierley
Brigg,Lincolnshire,town council1,/wiki/Brigg
Brighouse,West Yorkshire,borough (1893–1974),/wiki/Brighouse
Brightlingsea,Essex,town council1,/wiki/Brightlingsea
Brixham,Devon,town council,/wiki/Brixham
Broadstairs and St Peter's,Kent,town council1,/wiki/Broadstairs_and_St_Peter%27s
Bromborough,Merseyside,market charter,/wiki/Bromborough
Bromley,Greater London,borough (1903–1965),/wiki/Bromley
Bromsgrove,Worcestershire,market charter,/wiki/Bromsgrove
Bromyard,Herefordshire,town council,/wiki/Bromyard
Broseley,Shropshire,town council,/wiki/Broseley
Brough,East Riding of Yorkshire,town council,"/wiki/Brough,_East_Riding_of_Yorkshire"
Broughton,Lincolnshire,town council,"/wiki/Broughton,_Lincolnshire"
Broughton-in-Furness,Cumbria,market charter,/wiki/Broughton-in-Furness
Bruton,Somerset,town council,/wiki/Bruton
Buckfastleigh,Devon,town council1,/wiki/Buckfastleigh
Buckingham,Buckinghamshire,town council1,/wiki/Buckingham
Bude-Stratton,Cornwall,town council1,/wiki/Bude-Stratton
Budleigh Salterton,Devon,town council1,/wiki/Budleigh_Salterton
Bulwell,Nottinghamshire,market charter,/wiki/Bulwell
Bungay,Suffolk,town council1,"/wiki/Bungay,_Suffolk"
Buntingford,Hertfordshire,town council,/wiki/Buntingford
Burford,Oxfordshire,town council,/wiki/Burford
Burgess Hill,West Sussex,town council1,/wiki/Burgess_Hill
Burgh-le-Marsh,Lincolnshire,town council,/wiki/Burgh-le-Marsh
Burnham-on-Crouch,Essex,town council1,/wiki/Burnham-on-Crouch
Burnham-on-Sea,Somerset,town council1,/wiki/Burnham-on-Sea
Burnley,Lancashire,borough (1861–1974),/wiki/Burnley
Burntwood,Staffordshire,town council,/wiki/Burntwood
Burslem,Staffordshire,town council,/wiki/Burslem
Burton Latimer,Northamptonshire,town council1,/wiki/Burton_Latimer
Burton upon Trent,Staffordshire,charter trustees (abolished 2003),/wiki/Burton_upon_Trent
Bury,Greater Manchester,borough (1876–1974),/wiki/Bury
Bury St Edmunds,Suffolk,town council,/wiki/Bury_St_Edmunds
Bushey,Hertfordshire,market charter,/wiki/Bushey
Buxton,Derbyshire,borough (1917–1974),/wiki/Buxton
Caistor,Lincolnshire,town council,/wiki/Caistor
Callington,Cornwall,town council,"/wiki/Callington,_Cornwall"
Calne,Wiltshire,town council1,/wiki/Calne
Camborne,Cornwall,town council,/wiki/Camborne
Camelford,Cornwall,town council,/wiki/Camelford
Cannock,Staffordshire,market charter,/wiki/Cannock
Canvey Island,Essex,town council,/wiki/Canvey_Island
Carnforth,Lancashire,town council1,/wiki/Carnforth
Carlton Colville,Suffolk,town council,/wiki/Carlton_Colville
Carshalton,Greater London,Borough (1915-1965),/wiki/Carshalton
Carterton,Oxfordshire,town council,"/wiki/Carterton,_Oxfordshire"
Castle Cary,Somerset,town council,/wiki/Castle_Cary
Castleford,West Yorkshire,borough (1955–1974),/wiki/Castleford
Chagford,Devon,stannary charter,/wiki/Chagford
Chapel-en-le-Frith,Derbyshire,market charter,/wiki/Chapel-en-le-Frith
Chard,Somerset,town council1,"/wiki/Chard,_Somerset"
Charlbury,Oxfordshire,town council,/wiki/Charlbury
Chatham,Kent,borough (1890–1974),"/wiki/Chatham,_Kent"
Chatteris,Cambridgeshire,town council1,/wiki/Chatteris
Cheadle,Staffordshire,town council,"/wiki/Cheadle,_Staffordshire"
Cheltenham,Gloucestershire,borough (1876–1974),/wiki/Cheltenham
Chertsey,Surrey,market charter,/wiki/Chertsey
Chesham,Buckinghamshire,town council1,/wiki/Chesham
Cheshunt,Hertfordshire,market charter,/wiki/Cheshunt
Chesterfield,Derbyshire,borough (1835–1974),/wiki/Chesterfield
Chester-le-Street,Durham,market charter,/wiki/Chester-le-Street
Chickerell,Dorset,town council,/wiki/Chickerell
Chilton,County Durham,town council,"/wiki/Chilton,_County_Durham"
Chingford,Greater London,borough (1938–1965),/wiki/Chingford
Chippenham,Wiltshire,town council,/wiki/Chippenham
Chipping Campden,Gloucestershire,town council,/wiki/Chipping_Campden
Chipping Norton,Oxfordshire,town council1,"/wiki/Chipping_Norton,_Oxfordshire"
Chipping Sodbury,Gloucestershire,town council,/wiki/Chipping_Sodbury
Chorley,Lancashire,borough (1881–1974),/wiki/Chorley
Chorleywood,Hertfordshire,town council1,/wiki/Chorleywood
Christchurch,Dorset,borough (1886–1974),"/wiki/Christchurch,_Dorset"
Chudleigh,Devon,town council,/wiki/Chudleigh
Chulmleigh,Devon,market charter,/wiki/Chulmleigh
Church Stretton,Shropshire,town council,/wiki/Church_Stretton
Cinderford,Gloucestershire,town council,/wiki/Cinderford
Cirencester,Gloucestershire,town council1,/wiki/Cirencester
Clare,Suffolk,market charter,"/wiki/Clare,_Suffolk"
Clay Cross,Derbyshire,town council1,/wiki/Clay_Cross
Cleator Moor,Cumbria,town council,/wiki/Cleator_Moor
Cleethorpes,Lincolnshire,charter trustees,/wiki/Cleethorpes
Cleobury Mortimer,Shropshire,market charter,/wiki/Cleobury_Mortimer
Clevedon,Somerset,town council1,/wiki/Clevedon
Clitheroe,Lancashire,town council1,/wiki/Clitheroe
Clun,Shropshire,town council,/wiki/Clun
Coalville,Leicestershire,town council,/wiki/Coalville
Cockermouth,Cumbria,town council1,/wiki/Cockermouth
Coggeshall,Essex,market charter,/wiki/Coggeshall
Colburn,North Yorkshire,town council,"/wiki/Colburn,_North_Yorkshire"
Colchester,Essex,borough (1835–1974),/wiki/Colchester
Coleford,Gloucestershire,town council,"/wiki/Coleford,_Gloucestershire"
Coleshill,Warwickshire,town council,"/wiki/Coleshill,_Warwickshire"
Colne,Lancashire,town council,/wiki/Colne
Colyton,Devon,market charter,"/wiki/Colyton,_Devon"
Congleton,Cheshire,town council,/wiki/Congleton
Conisbrough,South Yorkshire,market charter,/wiki/Conisbrough
Corbridge,Northumberland,market charter,/wiki/Corbridge
Corby,Northamptonshire,market charter,/wiki/Corby
